zipCode,totalValidRegistrations
60628.0,15787.0
60620.0,13474.0
60619.0,13295.0
60617.0,11404.0
60629.0,10323.0
60651.0,8472.0
60643.0,8314.0
60636.0,8279.0
60644.0,5786.0
60632.0,4964.0
60623.0,4880.0
60639.0,4634.0
60652.0,4464.0
60621.0,4286.0
60624.0,4242.0
60609.0,3607.0
60649.0,3396.0
60638.0,3153.0
60637.0,2808.0
60655.0,1601.0
60612.0,1468.0
60634.0,1452.0
60653.0,1269.0
60608.0,1246.0
60631.0,869.0
60641.0,784.0
60707.0,730.0
60615.0,720.0
60647.0,652.0
60618.0,645.0
60630.0,641.0
60625.0,538.0
60827.0,524.0
60656.0,488.0
60633.0,488.0
60646.0,476.0
60607.0,283.0
60616.0,282.0
60645.0,239.0
60659.0,230.0
60622.0,219.0
60626.0,108.0
60642.0,72.0
60660.0,35.0
60610.0,34.0
60614.0,34.0
60640.0,28.0
60613.0,17.0
60657.0,10.0
60605.0,9.0
60290.0,6.0
60604.0,3.0
60804.0,3.0
60606.0,2.0
60661.0,2.0
60601.0,2.0
60654.0,2.0
60805.0,2.0
60678.0,2.0
60411.0,2.0
60104.0,2.0
60443.0,1.0
60131.0,1.0
60479.0,1.0
60477.0,1.0
60468.0,1.0
60155.0,1.0
69619.0,1.0
60611.0,1.0
60689.0,1.0
66019.0,1.0
66017.0,1.0
60803.0,1.0
60714.0,1.0
60706.0,1.0
60693.0,1.0
60686.0,1.0
60627.0,1.0
60684.0,1.0
60673.0,1.0
60666.0,1.0
60663.0,1.0
60658.0,1.0
66039.0,1.0
60020.0,1.0
