Community Area,Percentage_Foreclosed_Parcels,Foreclosure_Filings_05_15,Foreclosures_per_Parcel_Mean_05_15,Share_Low_Value_Mean_05_15,Vacant_Percent_Mean_10_15
Albany Park,20.1,1679,2.0454545454545454,0.4636363636363637,1.81
Archer Heights,20.7,623,2.3181818181818183,0.4,1.2449999999999999
Armour Square,3.5,106,0.34545454545454546,0.7000000000000001,0.78
Ashburn,27.2,4028,3.3000000000000003,0.5272727272727272,0.99
Auburn Gresham,30.7,4115,3.727272727272727,8.109090909090908,3.2349999999999994
Austin,33.7,6894,3.936363636363637,7.872727272727274,2.785
Avalon Park,26.8,1129,3.3272727272727276,6.454545454545454,2.44
Avondale,23.4,1646,2.2454545454545456,0.4181818181818182,2.2950000000000004
Belmont Cragin,33.0,4452,3.6181818181818186,0.5181818181818183,1.645
Beverly,11.5,960,1.3636363636363635,0.5272727272727272,0.9500000000000002
Bridgeport,9.1,729,1.018181818181818,1.090909090909091,1.3450000000000002
Brighton Park,24.1,1755,2.6090909090909093,1.4545454545454546,1.7100000000000002
Burnside,37.9,350,4.445454545454546,25.472727272727273,4.6800000000000015
Calumet Heights,22.6,1399,2.790909090909091,5.8999999999999995,2.4550000000000005
Chatham,27.1,2469,3.2181818181818183,7.881818181818181,4.095000000000001
Chicago Lawn,39.3,4586,4.6454545454545455,6.3090909090909095,3.8199999999999994
Clearing,16.1,1325,1.8,0.32727272727272727,1.01
Douglas,19.5,705,1.8909090909090909,3.163636363636364,1.155
Dunning,17.1,2369,1.8454545454545452,0.2727272727272727,0.93
East Garfield Park,40.2,1469,4.318181818181818,10.781818181818183,4.215000000000001
East Side,15.6,992,1.7090909090909088,5.599999999999999,3.165
Edgewater,12.1,1951,1.1818181818181819,0.7636363636363637,1.535
Edison Park,6.9,310,0.7454545454545454,0.3090909090909091,0.8150000000000001
Englewood,47.5,3129,5.572727272727272,33.29090909090909,9.245000000000001
Forest Glen,8.1,610,0.9272727272727274,0.27272727272727276,0.39
Fuller Park,37.4,252,4.154545454545454,33.79090909090908,7.38
Gage Park,31.2,2161,3.481818181818183,2.2181818181818183,1.625
Garfield Ridge,13.8,1747,1.5727272727272728,0.3,0.7450000000000001
Grand Boulevard,42.7,1985,4.445454545454546,6.281818181818182,5.709999999999999
Greater Grand Crossing,35.1,2738,4.154545454545455,15.363636363636363,5.465
Hegewisch,12.2,444,1.4181818181818182,1.8818181818181818,2.4200000000000004
Hermosa,31.9,1211,3.472727272727272,1.2727272727272727,2.21
Humboldt Park,39.1,3680,4.363636363636364,8.145454545454546,4.239999999999999
Hyde Park,9.7,586,1.0545454545454545,0.5727272727272728,2.3199999999999994
Irving Park,17.8,2228,1.8272727272727272,0.43636363636363634,1.7850000000000001
Jefferson Park,12.8,1056,1.3545454545454545,0.18181818181818182,1.23
Kenwood,19.5,843,2.272727272727273,2.0727272727272723,2.8649999999999993
Lake View,6.2,1909,0.5636363636363637,0.4909090909090908,1.35
Lincoln Park,5.0,1229,0.5000000000000001,0.26363636363636367,1.52
Lincoln Square,11.7,1050,1.1181818181818182,0.881818181818182,1.2149999999999996
Logan Square,16.0,2523,1.563636363636364,0.7727272727272727,2.5550000000000006
Loop,7.1,1204,0.5454545454545454,1.563636363636364,2.0450000000000004
Lower West Side,16.0,869,1.7727272727272725,0.41818181818181815,2.7350000000000003
McKinley Park,15.0,518,1.6454545454545453,0.43636363636363634,1.58
Montclare,26.7,890,2.936363636363637,0.22727272727272727,0.835
Morgan Park,20.9,1852,2.4727272727272727,8.581818181818182,2.1900000000000004
Mount Greenwood,8.6,684,1.009090909090909,0.4818181818181818,0.6849999999999999
Near North Side,7.0,3164,0.5454545454545454,0.5909090909090908,1.6349999999999998
Near South Side,9.4,1252,0.6090909090909091,1.781818181818182,1.585
Near West Side,12.2,2251,0.890909090909091,1.5909090909090906,0.975
New City,33.6,2906,3.9454545454545453,20.50909090909091,6.225
North Center,7.0,684,0.6909090909090909,0.2818181818181818,2.215
North Lawndale,39.8,2403,4.463636363636363,15.890909090909092,4.265
North Park,13.9,601,1.481818181818182,0.1818181818181818,1.4049999999999998
Norwood Park,9.1,1287,0.9909090909090911,0.07272727272727274,0.6399999999999999
O'Hare,19.2,664,1.1272727272727272,0.9454545454545454,1.0150000000000001
Oakland,26.5,269,2.2454545454545456,0.6818181818181818,3.5700000000000003
Portage Park,18.6,2913,2.018181818181818,0.14545454545454548,1.7100000000000002
Pullman,27.3,615,3.163636363636364,15.51818181818182,4.96
Riverdale,28.2,141,3.0181818181818185,55.83636363636364,24.96
Rogers Park,20.9,2343,1.981818181818182,1.4727272727272727,2.325
Roseland,30.5,4539,3.6545454545454548,25.281818181818185,4.3950000000000005
South Chicago,33.6,2620,3.972727272727272,25.136363636363637,8.7
South Deering,23.8,1214,2.7636363636363637,19.063636363636366,2.8899999999999997
South Lawndale,24.0,2200,2.6545454545454548,3.863636363636363,1.7
South Shore,35.3,3422,3.927272727272727,14.081818181818182,6.035
Uptown,10.9,1589,0.990909090909091,0.9909090909090907,1.35
Washington Heights,27.0,2776,3.3363636363636364,5.9818181818181815,2.1750000000000007
Washington Park,53.4,885,4.9363636363636365,12.654545454545454,7.090000000000001
West Elsdon,22.9,1102,2.518181818181818,0.6272727272727273,0.9450000000000001
West Englewood,42.7,4136,4.990909090909091,40.21818181818182,6.865
West Garfield Park,44.3,1465,5.090909090909091,21.254545454545454,4.31
West Lawn,28.1,2498,3.2363636363636363,2.190909090909091,0.945
West Pullman,34.7,3605,4.045454545454546,30.163636363636364,5.5600000000000005
West Ridge,22.1,3415,2.1999999999999997,1.0727272727272728,2.02
West Town,12.5,2686,1.1818181818181819,0.5909090909090909,2.19
Woodlawn,42.8,2234,4.490909090909091,11.654545454545454,6.234999999999999
