Zip,MeanBldgAge,VacantParcels,SmallResParcels,MultiFamilyParcels,MultiFamilyIncParcels,ParcelCount,MeanBldgValue
0,12.262199648368822,3803,1797,339,19,25595,41851.5777300254
60601,35.93089430894309,15,17,18,0,246,2851039.4024390243
60602,66.78571428571429,4,4,1,0,168,1767873.267857143
60603,52.26842105263158,6,6,1,2,190,2765327.4368421054
60604,52.365,2,9,6,11,200,1003373.49
60605,26.893421052631577,80,760,73,8,1520,204485.23815789472
60606,40.65338645418327,3,11,5,0,251,4578936.80876494
60607,44.90705634544497,153,1890,137,14,3798,85875.29357556609
60608,78.71269243927472,785,10458,259,4,14615,21775.910023948
60609,67.36387180317254,2312,11827,106,20,18534,13285.682691270098
60610,36.14844043592635,120,1505,180,4,2661,129236.61480646374
60611,36.34995014955135,46,280,60,2,1003,1184167.0987038882
60612,51.43063524590164,1331,4751,169,11,9760,21219.340266393443
60613,71.0638762150367,55,3920,360,1,5041,75114.5901606824
60614,60.29437439379243,282,8205,363,4,10310,98385.53452958293
60615,54.91508581752484,348,2858,300,0,4428,42791.67592592593
60616,58.527152486328376,467,5473,75,8,7863,41791.03243037009
60617,68.12487487487488,1517,23307,169,5,27972,9939.103818103818
60618,81.97335490830636,199,15875,393,3,18540,38179.01699029126
60619,70.88745948136143,1030,16325,529,0,19744,12752.787834278768
60620,69.0613266583229,1099,16816,428,6,20774,11680.661981322808
60621,55.792668690170444,2374,6450,229,1,12849,6792.735232313798
60622,71.66688685477021,316,8362,239,9,10597,48901.493158441066
60623,79.5105425254679,1411,12558,158,2,16884,12738.331260364843
60624,61.13602194229988,1544,5630,236,0,9844,11907.182039821211
60625,78.15460111651359,71,9336,523,5,11106,38903.68539528183
60626,63.57846228474412,38,2841,440,0,4123,47887.088770312876
60628,67.64043699712113,2162,21773,94,2,27094,8684.670702000443
60629,73.45495331635746,369,22690,371,0,24741,12694.16486803282
60630,73.18419290020094,87,13365,125,12,14930,25783.081513730744
60631,67.34502551020408,44,8825,88,1,9408,35814.24468537415
60632,73.5806537337231,456,16117,86,19,18815,15957.885091682168
60633,61.89849833147942,257,3045,14,7,3596,12742.175194660735
60634,71.02931785195936,66,19296,137,12,20670,21948.94833091437
60636,64.30453535485557,2345,10045,87,4,15302,6803.719840543719
60637,61.06663435909862,901,5071,285,0,8254,18778.10915919554
60638,55.0880408964164,312,17491,132,5,19366,16058.408705979551
60639,80.18400433944069,196,13703,261,4,16592,22645.25699132112
60640,69.14437743880809,65,4043,443,19,5638,66547.10251862362
60641,81.54003372681282,86,12797,305,2,14825,27095.256458684653
60642,54.481751824817515,214,2369,100,2,3973,65455.23961741757
60643,63.08445556946183,1127,16976,102,3,19975,15149.115444305382
60644,76.22674726906352,844,6714,285,0,9429,14240.649697741012
60645,62.94243306977389,87,6346,259,3,7209,29824.695380774032
60646,63.64261897544711,50,9025,37,8,9897,32169.508841062947
60647,82.82275282673235,501,12854,389,2,15831,35278.103973217105
60649,73.39951573849879,327,5168,553,8,7021,21917.72753169064
60651,85.54286990175648,613,11023,187,3,13436,13282.974620422745
60652,56.41505359759389,107,12053,43,1,12967,14041.960977866893
60653,43.36416581020897,767,2966,270,2,5838,18938.752997601918
60654,45.547450980392156,45,289,73,4,1275,495335.73490196076
60655,61.07267386772788,88,10053,9,4,10554,18470.403259427705
60656,57.902558206381144,12,6620,48,0,6958,27326.475567691865
60657,64.90759202453988,115,6307,432,7,7824,85597.74603783232
60659,64.24878567091682,28,5378,226,0,6588,33611.99058894961
60660,70.02689747003994,25,2792,307,0,3755,51711.9190412783
60661,38.47876447876448,28,75,22,4,518,643898.4111969112
60706,31.285714285714285,0,3,0,1,7,20166.14285714286
60707,70.82692725298588,29,4188,29,3,4605,24799.301194353964
60712,42.0,0,3,0,0,4,21051.0
60714,35.0,0,2,0,0,3,18683.0
60803,59.84415584415584,2,71,0,0,77,25023.0
60804,35.9375,0,4,0,0,16,25862.5
60805,35.44444444444444,2,6,0,0,9,8546.222222222223
60827,41.95259593679458,164,515,2,0,886,5433.147855530474
