zip_code,number_of_311_calls
60605,161
60611,223
60612,1705
60616,841
60617,6377
60618,3018
60619,6941
60620,6151
60621,1886
60622,1797
60623,2869
60626,1224
60628,6999
60629,7132
60630,2479
60666,4
60631,2074
60632,2911
60634,4146
60638,4047
60639,3978
60640,1555
60643,4426
60643,4426
60646,2192
60647,2793
60649,2345
60651,5341
60653,891
60655,2520
60656,1080
60657,1494
60661,100
60604,59
60601,52
60707,1005
60602,56
60603,65
60606,85
60827,154
60633,571
60607,630
60608,2137
60609,2423
60610,431
60613,1193
60614,1933
60615,1026
60624,1842
60625,2467
60636,3425
60637,2103
60641,2367
60642,491
60644,2798
60645,1476
60652,3061
60654,160
60659,1575
60660,810
60707,1005
