Duration,1-year,2-year,5-year,10-year,25-year,50-year,100-year
10-day,4.12,4.95,6.04,6.89,8.18,9.38,11.14
5-day,3.25,3.93,4.91,5.70,6.93,8.04,9.96
72-hr,2.93,3.55,4.44,5.18,6.32,7.41,8.78
48-hr,2.70,3.30,4.09,4.81,5.88,6.84,8.16
24-hr,2.51,3.04,3.80,4.47,5.51,6.46,7.58
18-hr,2.30,2.79,3.50,4.11,5.06,5.95,6.97
12-hr,2.18,2.64,3.31,3.89,4.79,5.62,6.59
6-hr,1.88,2.28,2.85,3.35,4.13,4.85,5.68
3-hr,1.60,1.94,2.43,2.86,3.53,4.14,4.85
2-hr,1.48,1.79,2.24,2.64,3.25,3.82,4.47
1-hr,1.18,1.43,1.79,2.10,2.59,3.04,3.56
30-min,0.93,1.12,1.41,1.65,2.04,2.39,2.80
15-min,0.68,0.82,1.03,1.21,1.49,1.75,2.05
10-min,0.55,0.67,0.84,0.98,1.21,1.42,1.67
5-min,0.30,0.36,0.46,0.54,0.66,0.78,0.91
