n,duration_hrs,start_time,end_time,inches,year
100,240,1987-08-11 23:00:00,1987-08-21 23:00:00,13.550000000000004,1987
100,240,2008-09-04 13:00:00,2008-09-14 13:00:00,11.939999999999985,2008
100,24,2011-07-22 08:00:00,2011-07-23 08:00:00,7.860000000000006,2011
50,24,2010-07-23 16:00:00,2010-07-24 16:00:00,6.5400000000000045,2010
50,3,2001-08-30 21:00:00,2001-08-31 00:00:00,4.2700000000000005,2001
25,18,2013-04-17 14:00:00,2013-04-18 08:00:00,5.160000000000017,2013
25,2,1997-07-18 14:00:00,1997-07-18 16:00:00,3.3799999999999972,1997
10,240,2002-08-12 14:00:00,2002-08-22 14:00:00,7.319999999999979,2002
10,240,1990-08-11 23:00:00,1990-08-21 23:00:00,6.959999999999991,1990
10,120,1978-09-13 01:00:00,1978-09-18 01:00:00,5.999999999999995,1978
10,72,1982-12-02 02:00:00,1982-12-05 02:00:00,5.200000000000001,1982
10,6,1989-08-04 01:00:00,1989-08-04 07:00:00,3.450000000000002,1989
5,240,1975-08-21 20:00:00,1975-08-31 20:00:00,6.099999999999998,1975
5,120,2009-06-14 21:00:00,2009-06-19 21:00:00,5.309999999999988,2009
5,120,2007-08-19 02:00:00,2007-08-24 02:00:00,5.209999999999983,2007
5,120,2001-09-18 20:00:00,2001-09-23 20:00:00,5.069999999999979,2001
5,120,1980-08-16 10:00:00,1980-08-21 10:00:00,4.949999999999992,1980
5,72,2001-10-11 19:00:00,2001-10-14 19:00:00,4.500000000000001,2001
5,18,1994-06-23 10:00:00,1994-06-24 04:00:00,3.550000000000011,1994
5,12,1988-10-17 09:00:00,1988-10-17 21:00:00,3.4200000000000026,1988
5,3,2002-07-09 00:00:00,2002-07-09 03:00:00,2.6599999999999997,2002
5,3,2014-08-04 18:00:00,2014-08-04 21:00:00,2.5699999999999994,2014
5,1,1989-09-01 01:00:00,1989-09-01 02:00:00,1.849999999999999,1989
2,240,2003-04-30 02:00:00,2003-05-10 02:00:00,5.989999999999979,2003
2,240,1986-09-24 14:00:00,1986-10-04 14:00:00,5.759999999999999,1986
2,240,2001-08-18 03:00:00,2001-08-28 03:00:00,5.749999999999975,2001
2,240,1990-05-03 16:00:00,1990-05-13 16:00:00,5.469999999999997,1990
2,240,2011-05-22 10:00:00,2011-06-01 10:00:00,5.239999999999999,2011
2,240,2015-06-11 03:00:00,2015-06-21 03:00:00,5.069999999999989,2015
2,120,2008-07-31 11:00:00,2008-08-05 11:00:00,4.159999999999984,2008
2,120,1983-11-23 02:00:00,1983-11-28 02:00:00,4.039999999999992,1983
2,72,1997-02-19 18:00:00,1997-02-22 18:00:00,3.9000000000000017,1997
2,72,2003-07-31 21:00:00,2003-08-03 21:00:00,3.6199999999999988,2003
2,72,1999-06-10 17:00:00,1999-06-13 17:00:00,3.5999999999999996,1999
2,48,2006-11-29 09:00:00,2006-12-01 09:00:00,3.440000000000011,2006
2,24,2002-06-03 20:00:00,2002-06-04 20:00:00,3.1200000000000028,2002
2,24,1983-10-21 19:00:00,1983-10-22 19:00:00,3.100000000000005,1983
2,18,1993-07-18 04:00:00,1993-07-18 22:00:00,2.9000000000000092,1993
2,12,2014-06-30 13:00:00,2014-07-01 01:00:00,2.6800000000000073,2014
2,3,2006-09-22 15:00:00,2006-09-22 18:00:00,2.07,2006
2,3,1982-07-02 20:00:00,1982-07-02 23:00:00,2.01,1982
2,3,1982-08-07 14:00:00,1982-08-07 17:00:00,2.0,1982
2,2,1988-09-12 07:00:00,1988-09-12 09:00:00,1.8599999999999983,1988
2,1,1971-08-24 18:00:00,1971-08-24 19:00:00,1.72,1971
2,1,1972-08-25 21:00:00,1972-08-25 22:00:00,1.65,1972
2,1,1985-08-13 03:00:00,1985-08-13 04:00:00,1.5499999999999985,1985
2,1,2004-05-20 20:00:00,2004-05-20 21:00:00,1.4500000000000002,2004
1,240,1983-03-31 16:00:00,1983-04-10 16:00:00,4.609999999999993,1983
1,240,1993-06-17 13:00:00,1993-06-27 13:00:00,4.5399999999999885,1993
1,240,1985-02-22 13:00:00,1985-03-04 13:00:00,4.50999999999999,1985
1,240,2009-02-26 14:00:00,2009-03-08 14:00:00,4.469999999999999,2009
1,240,1994-10-30 17:00:00,1994-11-09 17:00:00,4.429999999999984,1994
1,240,1997-08-09 22:00:00,1997-08-19 22:00:00,4.349999999999972,1997
1,240,1985-10-31 16:00:00,1985-11-10 16:00:00,4.339999999999994,1985
1,240,2008-07-10 02:00:00,2008-07-20 02:00:00,4.259999999999986,2008
1,240,1999-04-14 00:00:00,1999-04-24 00:00:00,4.259999999999972,1999
1,120,1983-06-27 09:00:00,1983-07-02 09:00:00,3.8599999999999897,1983
1,120,1998-08-03 17:00:00,1998-08-08 17:00:00,3.4599999999999773,1998
1,120,1989-07-17 15:00:00,1989-07-22 15:00:00,3.3199999999999967,1989
1,120,1976-04-20 19:00:00,1976-04-25 19:00:00,3.3199999999999945,1976
1,72,1991-10-02 09:00:00,1991-10-05 09:00:00,3.159999999999999,1991
1,72,1990-11-26 01:00:00,1990-11-29 01:00:00,3.039999999999999,1990
1,72,1987-08-25 04:00:00,1987-08-28 04:00:00,3.030000000000005,1987
1,72,2014-08-21 01:00:00,2014-08-24 01:00:00,2.980000000000012,2014
1,72,1992-11-01 00:00:00,1992-11-04 00:00:00,2.9699999999999993,1992
1,72,2007-08-04 06:00:00,2007-08-07 06:00:00,2.9500000000000024,2007
1,72,1998-10-17 03:00:00,1998-10-20 03:00:00,2.940000000000001,1998
1,48,2015-09-17 06:00:00,2015-09-19 06:00:00,2.890000000000019,2015
1,48,1982-07-20 22:00:00,1982-07-22 22:00:00,2.730000000000001,1982
1,48,1978-06-30 08:00:00,1978-07-02 08:00:00,2.7199999999999993,1978
1,24,1995-11-10 10:00:00,1995-11-11 10:00:00,2.5700000000000065,1995
1,18,1981-08-02 15:00:00,1981-08-03 09:00:00,2.3500000000000045,1981
1,18,2000-09-11 12:00:00,2000-09-12 06:00:00,2.310000000000013,2000
1,12,1979-08-28 21:00:00,1979-08-29 09:00:00,2.2400000000000007,1979
1,3,1999-07-21 18:00:00,1999-07-21 21:00:00,1.7799999999999996,1999
1,3,1981-07-12 08:00:00,1981-07-12 11:00:00,1.7599999999999996,1981
1,3,1984-07-20 17:00:00,1984-07-20 20:00:00,1.6400000000000003,1984
1,3,1982-12-24 20:00:00,1982-12-24 23:00:00,1.64,1982
1,3,1995-07-04 10:00:00,1995-07-04 13:00:00,1.63,1995
1,3,1990-06-29 02:00:00,1990-06-29 05:00:00,1.6299999999999994,1990
1,1,2007-07-18 19:00:00,2007-07-18 20:00:00,1.2500000000000004,2007
1,1,1993-08-15 16:00:00,1993-08-15 17:00:00,1.2499999999999991,1993
1,1,1971-07-08 06:00:00,1971-07-08 07:00:00,1.18,1971
